window,cap,genre,question_id,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
2,5,novel,00950a36_7,True,Conan.,1.0,False,1.2,30312.0,4.0,30316.0
2,5,novel,00950a36_10,True,Conan,1.0,False,0.6,30306.0,3.0,30309.0
2,5,novel,00950a36_9,False,Shah Amurath's harem.,1.0,False,0.9,30303.0,10.0,30313.0
2,5,novel,00950a36_8,True,Olivia,1.0,False,1.4,30303.0,3.0,30306.0
2,5,caselaw,1,False,5,1.0,False,1.1,24721.0,2.0,24723.0
2,5,novel,00950a36_11,False,No one.,2.0,True,1.5,31528.0,10.0,31538.0
2,5,caselaw,3,True,5,2.0,True,1.9,25979.0,20.0,25999.0
2,5,caselaw,5,False,5,1.0,False,1.2,24809.0,2.0,24811.0
2,5,caselaw,7,False,5,2.0,True,1.3,26007.0,20.0,26027.0
2,5,caselaw,9,True,5,1.0,False,1.0,24700.0,2.0,24702.0
2,5,caselaw,13,False,5,1.0,False,1.0,24726.0,2.0,24728.0
2,5,caselaw,17,False,4,1.0,False,0.5,24747.0,2.0,24749.0
2,5,caselaw,15,False,5,2.0,True,0.7,25953.0,20.0,25973.0
2,5,caselaw,11,True,5,2.0,True,1.8,26071.0,20.0,26091.0
2,5,caselaw,19,False,5,1.0,False,0.6,24696.0,2.0,24698.0
2,5,novel,00950a36_5,False,,,,,,,
2,10,wiki,3,True,1624,1.0,False,0.6,7159.0,3.0,7162.0
2,10,wiki,1,True,1898,1.0,False,0.6,7165.0,3.0,7168.0
2,10,wiki,2,False,No information is available.,2.0,True,0.8,8220.0,12.0,8232.0
2,10,wiki,4,False,No information.,2.0,True,1.1,8155.0,10.0,8165.0
2,10,wiki,8,False,Juan Rodriguez,1.0,False,0.2,7160.0,3.0,7163.0
2,10,wiki,5,False,There is no information about Giovanni da Verrazzano in the passage.,2.0,True,0.7,8127.0,22.0,8149.0
2,10,wiki,6,False,I don't have information about Estêvão Gomes.,2.0,True,0.8,8129.0,20.0,8149.0
2,10,wiki,10,True,Peter Stuyvesant,1.0,False,0.4,7162.0,6.0,7168.0
2,10,wiki,9,False,1624,2.0,True,0.7,8125.0,9.0,8134.0
2,10,wiki,7,False,No information.,2.0,True,1.8,8119.0,10.0,8129.0
2,10,news,2,False,An Australian soldier.,1.0,False,1.1,25072.0,5.0,25077.0
2,10,news,4,False,Yes.,2.0,True,0.7,25896.0,9.0,25905.0
2,10,news,3,False,Michio Kanda.,2.0,True,1.7,25809.0,12.0,25821.0
2,10,news,5,False,No information.,2.0,True,1.2,26055.0,10.0,26065.0
2,10,news,6,False,There is no information about Messi in the passage.,2.0,True,0.7,25795.0,17.0,25812.0
2,10,news,7,False,Guinness,1.0,False,0.4,25077.0,3.0,25080.0
2,10,news,10,False,Saturday,1.0,False,1.2,25076.0,2.0,25078.0
2,10,news,9,False,Tony Snow's resignation.,2.0,True,56.2,26241.0,12.0,26253.0
2,10,news,1,False,"Civilians, Taliban militants.",2.0,True,59.0,26704.0,1181.0,27885.0
2,10,news,8,False,No information provided.,2.0,True,56.4,25799.0,11.0,25810.0
2,10,novel,00950a36_0,True,Shah Amurath,1.0,False,56.2,30311.0,6.0,30317.0
2,10,novel,00950a36_1,True,Olivia.,1.0,False,1.5,30307.0,4.0,30311.0
2,10,novel,00950a36_6,False,Dorothy,1.0,False,1.3,30306.0,4.0,30310.0
2,10,novel,00950a36_8,True,Olivia.,1.0,False,0.3,30303.0,4.0,30307.0
2,10,novel,00950a36_7,True,Conan.,1.0,False,1.3,30312.0,4.0,30316.0
2,10,novel,00950a36_10,True,Conan,1.0,False,1.6,30306.0,3.0,30309.0
2,10,novel,00950a36_9,False,Shah Amurath's harem.,1.0,False,1.7,30303.0,10.0,30313.0
2,10,novel,00950a36_11,False,No one.,2.0,True,0.9,31247.0,10.0,31257.0
2,10,caselaw,1,False,5,1.0,False,1.1,24721.0,2.0,24723.0
2,10,caselaw,5,False,5,1.0,False,1.3,24809.0,2.0,24811.0
2,10,caselaw,3,False,2,2.0,True,2.0,26726.0,20.0,26746.0
2,10,caselaw,9,True,5,1.0,False,1.0,24700.0,2.0,24702.0
2,10,caselaw,7,False,1,2.0,True,2.3,26754.0,20.0,26774.0
2,10,caselaw,13,False,5,1.0,False,0.3,24726.0,2.0,24728.0
2,10,caselaw,11,True,5,2.0,True,1.9,26818.0,20.0,26838.0
2,10,caselaw,15,False,5,2.0,True,0.7,26700.0,20.0,26720.0
2,10,caselaw,17,False,4,1.0,False,0.4,24747.0,2.0,24749.0
2,10,caselaw,19,False,5,2.0,True,0.8,26828.0,20.0,26848.0
2,10,novel,00950a36_5,True,Olivia.,2.0,True,20.9,32213.0,1498.0,33711.0
2,10,novel,00950a36_2,False,SHAH AMURATH,1.0,False,250.2,30308.0,6.0,30314.0
2,20,wiki,3,True,1624,1.0,False,0.4,7159.0,3.0,7162.0
2,20,wiki,1,True,1898,1.0,False,0.5,7165.0,3.0,7168.0
2,20,wiki,4,False,No information.,2.0,True,0.6,8155.0,10.0,8165.0
2,20,wiki,5,False,I don't have information about that.,2.0,True,0.5,8127.0,15.0,8142.0
2,20,wiki,2,False,No information is available.,2.0,True,1.0,8220.0,12.0,8232.0
2,20,wiki,8,False,Juan Rodriguez,1.0,False,0.3,7160.0,3.0,7163.0
2,20,wiki,9,False,1624,1.0,False,0.3,7162.0,3.0,7165.0
2,20,wiki,7,False,No information.,2.0,True,0.6,8119.0,10.0,8129.0
2,20,wiki,10,True,Peter Stuyvesant,1.0,False,0.2,7162.0,6.0,7168.0
2,20,news,2,False,An Australian soldier,1.0,False,1.3,25072.0,4.0,25076.0
2,20,wiki,6,False,I don't have information about Estêvão Gomes.,2.0,True,2.3,8129.0,20.0,8149.0
2,20,news,3,False,Michio Kanda.,2.0,True,1.4,27307.0,39.0,27346.0
2,20,news,6,False,There is no information about Messi in the passage.,2.0,True,0.9,25795.0,17.0,25812.0
2,20,news,4,False,Yes.,2.0,True,1.3,25896.0,9.0,25905.0
2,20,news,5,False,No information.,2.0,True,1.1,26055.0,10.0,26065.0
2,20,news,7,False,Guinness,1.0,False,1.0,25077.0,3.0,25080.0
2,20,news,9,False,Resignation,1.0,False,1.1,25083.0,4.0,25087.0
2,20,news,10,False,Saturday,1.0,False,0.4,25076.0,2.0,25078.0
2,20,news,1,False,"Civilians, Taliban militants, and 60 others wounded.",2.0,True,58.4,28383.0,1187.0,29570.0
2,20,news,8,True,Gulder Ultimate Search.,2.0,True,56.5,28385.0,1165.0,29550.0
2,20,novel,00950a36_0,True,Shah Amurath,1.0,False,55.4,30311.0,6.0,30317.0
2,20,novel,00950a36_6,False,Dorothy,1.0,False,0.3,30306.0,4.0,30310.0
2,20,novel,00950a36_1,True,Olivia.,1.0,False,56.1,30307.0,4.0,30311.0
2,20,novel,00950a36_7,True,Conan.,1.0,False,0.6,30312.0,4.0,30316.0
2,20,novel,00950a36_8,True,Olivia.,1.0,False,0.3,30303.0,4.0,30307.0
2,20,novel,00950a36_2,True,Akif.,2.0,True,1.9,31780.0,22.0,31802.0
2,20,novel,00950a36_9,False,Shah Amurath's harem.,1.0,False,0.3,30303.0,10.0,30313.0
2,20,novel,00950a36_10,True,Conan,1.0,False,0.4,30306.0,3.0,30309.0
2,20,novel,00950a36_11,False,No one.,2.0,True,0.6,31600.0,10.0,31610.0
2,20,caselaw,5,False,5,1.0,False,1.0,24809.0,2.0,24811.0
2,20,caselaw,1,True,1,2.0,True,1.7,26878.0,20.0,26898.0
2,20,caselaw,3,False,2,2.0,True,1.4,26726.0,20.0,26746.0
2,20,caselaw,9,True,5,1.0,False,1.1,24700.0,2.0,24702.0
2,20,caselaw,7,False,1,2.0,True,1.5,26754.0,20.0,26774.0
2,20,caselaw,13,False,5,1.0,False,0.3,24726.0,2.0,24728.0
2,20,caselaw,11,True,5,2.0,True,1.8,26818.0,20.0,26838.0
2,20,caselaw,15,False,5,2.0,True,0.6,26700.0,20.0,26720.0
2,20,caselaw,19,False,5,1.0,False,0.3,24696.0,2.0,24698.0
2,20,caselaw,17,False,4,1.0,False,1.0,24747.0,2.0,24749.0
2,20,novel,00950a36_5,True,Olivia.,2.0,True,267.0,34055.0,1498.0,35553.0
2,40,wiki,3,True,1624,1.0,False,0.5,7159.0,3.0,7162.0
2,40,wiki,1,True,1898,1.0,False,0.5,7165.0,3.0,7168.0
2,40,wiki,4,False,No information.,2.0,True,0.7,8155.0,10.0,8165.0
2,40,wiki,2,False,No information provided.,2.0,True,1.0,8220.0,11.0,8231.0
2,40,wiki,6,False,I don't have information about Estêvão Gomes.,2.0,True,0.8,8129.0,20.0,8149.0
2,40,wiki,5,False,There is no information about Giovanni da Verrazzano in the passage.,2.0,True,0.8,8127.0,22.0,8149.0
2,40,wiki,7,False,No information provided.,2.0,True,0.6,8119.0,11.0,8130.0
2,40,wiki,9,False,1624,1.0,False,0.2,7162.0,3.0,7165.0
2,40,wiki,10,True,Peter Stuyvesant,1.0,False,0.3,7162.0,6.0,7168.0
2,40,wiki,8,False,Juan Rodriguez,1.0,False,0.5,7160.0,3.0,7163.0
2,40,news,2,False,An Australian soldier.,1.0,False,1.0,25072.0,5.0,25077.0
2,40,news,3,False,Michio Kanda.,2.0,True,1.7,27307.0,39.0,27346.0
2,40,news,4,False,Yes.,2.0,True,2.0,25896.0,9.0,25905.0
2,40,news,7,False,Gulder,1.0,False,0.3,25077.0,4.0,25081.0
2,40,news,5,False,No information.,2.0,True,1.4,26055.0,10.0,26065.0
2,40,news,6,False,There is no information about Messi in the passage.,2.0,True,0.7,25795.0,17.0,25812.0
2,40,news,1,False,Multiple people.,2.0,True,41.3,32263.0,1168.0,33431.0
2,40,news,8,True,Gulder Ultimate Search.,2.0,True,56.2,32265.0,1168.0,33433.0
2,40,news,9,False,No information.,2.0,True,56.4,26191.0,10.0,26201.0
2,40,news,10,False,Saturday,1.0,False,57.3,25076.0,2.0,25078.0
2,40,novel,00950a36_1,True,Olivia.,1.0,False,1.1,30307.0,4.0,30311.0
2,40,novel,00950a36_0,True,Shah Amurath,1.0,False,18.6,30311.0,6.0,30317.0
2,40,novel,00950a36_7,True,Conan.,1.0,False,0.4,30312.0,4.0,30316.0
2,40,novel,00950a36_6,False,Dorothy,1.0,False,0.4,30306.0,4.0,30310.0
2,40,novel,00950a36_2,True,Akif.,2.0,True,1.8,31780.0,22.0,31802.0
2,40,novel,00950a36_8,True,Olivia,1.0,False,0.4,30303.0,3.0,30306.0
2,40,novel,00950a36_10,True,Conan,1.0,False,0.5,30306.0,3.0,30309.0
2,40,novel,00950a36_11,False,No one.,2.0,True,0.7,31247.0,10.0,31257.0
2,40,caselaw,1,False,5,1.0,False,1.1,24721.0,2.0,24723.0
2,40,caselaw,3,False,2,2.0,True,1.3,26726.0,20.0,26746.0
2,40,caselaw,5,False,5,1.0,False,1.0,24809.0,2.0,24811.0
2,40,caselaw,9,True,5,1.0,False,0.3,24700.0,2.0,24702.0
2,40,caselaw,7,False,1,2.0,True,1.4,26754.0,20.0,26774.0
2,40,caselaw,13,False,5,1.0,False,0.3,24726.0,2.0,24728.0
2,40,caselaw,11,True,5,2.0,True,1.2,26818.0,20.0,26838.0
2,40,caselaw,17,False,4,1.0,False,0.3,24747.0,2.0,24749.0
2,40,caselaw,15,False,5,2.0,True,1.2,26700.0,20.0,26720.0
2,40,novel,00950a36_9,False,Shah Amurath's harem.,1.0,False,8.6,30303.0,10.0,30313.0
2,40,caselaw,19,False,5,2.0,True,36.2,26828.0,20.0,26848.0
2,40,novel,00950a36_5,True,Olivia.,2.0,True,59.1,37911.0,1498.0,39409.0
2,5,wiki,13,True,1735,1.0,False,0.4,7174.0,3.0,7177.0
2,5,wiki,12,False,No information.,2.0,True,0.7,8295.0,10.0,8305.0
2,5,wiki,14,True,August 1776.,2.0,True,0.7,8309.0,12.0,8321.0
2,5,wiki,11,False,New Amsterdam.,2.0,True,0.7,8285.0,10.0,8295.0
2,5,wiki,15,False,The Great Irish Famine,1.0,False,0.4,7174.0,6.0,7180.0
2,5,wiki,17,True,1827,2.0,True,0.6,8141.0,9.0,8150.0
2,5,wiki,19,True,25%,2.0,True,0.7,8116.0,15.0,8131.0
2,5,wiki,16,True,Philadelphia.,2.0,True,0.8,8313.0,12.0,8325.0
2,5,wiki,18,False,There is no information about the Erie Canal in the provided passage.,2.0,True,0.9,8305.0,20.0,8325.0
2,5,wiki,20,False,1664.,2.0,True,0.6,8307.0,13.0,8320.0
2,5,wiki,22,True,Megacity,1.0,False,0.5,7180.0,3.0,7183.0
2,5,wiki,23,False,No information.,2.0,True,0.7,8315.0,16.0,8331.0
2,5,wiki,21,False,I don't have that information.,2.0,True,0.8,8309.0,14.0,8323.0
2,5,wiki,26,False,No information.,2.0,True,23.6,8141.0,328.0,8469.0
2,5,wiki,25,False,There is no mention of a plane crash in the provided passage.,2.0,True,24.0,7831.0,23.0,7854.0
2,5,wiki,27,False,"Manhattan, Staten, and Roosevelt.",2.0,True,57.3,8247.0,21.0,8268.0
2,5,wiki,24,False,There is no information about the question in the passage.,2.0,True,58.5,8169.0,48.0,8217.0
2,5,wiki,28,True,The Harlem River.,2.0,True,35.3,8169.0,74.0,8243.0
2,5,wiki,31,False,Over 300.,2.0,True,0.9,8247.0,14.0,8261.0
2,5,wiki,30,False,I don't have information about the construction of the Pieter Claesen Wyckoff House.,2.0,True,2.2,7845.0,32.0,7877.0
2,5,wiki,33,False,Water towers.,2.0,True,0.7,8159.0,10.0,8169.0
2,5,wiki,29,True,164.1,2.0,True,36.3,8165.0,253.0,8418.0
2,5,wiki,35,True,"July 9, 1936.",2.0,True,0.7,8122.0,15.0,8137.0
2,5,wiki,36,True,49.9 inches.,2.0,True,0.6,8122.0,12.0,8134.0
2,5,wiki,37,True,Minneapolis.,2.0,True,0.7,8094.0,19.0,8113.0
2,5,wiki,34,True,humid continental,2.0,True,1.5,8132.0,229.0,8361.0
2,5,wiki,38,False,"26,000",2.0,True,0.7,8072.0,16.0,8088.0
2,5,wiki,32,False,I don't have the information.,2.0,True,2.6,8139.0,332.0,8471.0
2,5,wiki,41,False,I don't have that information.,2.0,True,22.3,8133.0,332.0,8465.0
2,5,wiki,40,True,"1,093",2.0,True,22.7,8070.0,16.0,8086.0
2,5,wiki,39,False,The Tomb of Grant.,2.0,True,56.5,8143.0,330.0,8473.0
2,5,wiki,42,False,20.1 million residents.,2.0,True,56.6,8153.0,163.0,8316.0
2,5,wiki,43,False,Bangladeshi.,2.0,True,35.0,8226.0,15.0,8241.0
2,5,wiki,44,False,No information.,2.0,True,35.2,8293.0,13.0,8306.0
2,5,wiki,45,True,"74,000.",2.0,True,1.5,8234.0,11.0,8245.0
2,5,wiki,48,True,"568,903",1.0,False,0.8,7175.0,4.0,7179.0
2,5,wiki,49,True,Judaism.,2.0,True,0.9,8270.0,11.0,8281.0
2,5,wiki,47,False,No information is provided about the Caribbean.,2.0,True,1.6,8147.0,45.0,8192.0
2,5,wiki,46,False,No information.,2.0,True,3.6,8094.0,316.0,8410.0
2,5,wiki,50,False,Not mentioned.,2.0,True,2.9,8149.0,328.0,8477.0
2,5,wiki,54,True,$40 billion,2.0,True,0.6,8251.0,13.0,8264.0
2,5,wiki,55,False,No information.,2.0,True,0.6,8245.0,10.0,8255.0
2,5,wiki,53,False,No information.,2.0,True,2.5,8139.0,286.0,8425.0
2,5,wiki,56,False,I don't have information about Cornell Tech's location.,2.0,True,0.6,8213.0,18.0,8231.0
2,5,wiki,57,True,56.4 million.,2.0,True,19.5,8379.0,90.0,8469.0
2,5,wiki,52,False,"25,000.",2.0,True,57.8,8316.0,11.0,8327.0
2,5,wiki,58,False,No information provided.,2.0,True,53.7,8135.0,329.0,8464.0
2,5,wiki,51,True,"$15,887",2.0,True,58.3,8253.0,11.0,8264.0
2,5,wiki,59,False,I cannot answer that question as it does not exist in the provided text.,2.0,True,34.5,8250.0,22.0,8272.0
2,5,wiki,62,True,The Wall Street Journal and The New York Times.,1.0,False,0.8,7174.0,11.0,7185.0
2,5,wiki,60,False,No information is provided about the sale of the Waldorf Astoria hotel.,2.0,True,1.0,8247.0,22.0,8269.0
2,5,wiki,61,True,"25,000.",2.0,True,1.5,8257.0,11.0,8268.0
2,5,wiki,63,True,Manhattan Neighborhood Network.,2.0,True,1.8,8282.0,12.0,8294.0
2,5,wiki,65,False,None mentioned.,2.0,True,1.5,8135.0,10.0,8145.0
2,5,wiki,66,False,No information provided.,2.0,True,2.3,8137.0,329.0,8466.0
2,5,wiki,64,False,No answer available.,2.0,True,3.8,8143.0,329.0,8472.0
2,5,wiki,67,True,1.4 million.,2.0,True,2.9,8382.0,15.0,8397.0
2,5,wiki,68,True,"Ramanathan Raju, MD.",2.0,True,3.6,8336.0,15.0,8351.0
2,5,wiki,69,False,No information.,2.0,True,2.5,8315.0,10.0,8325.0
2,5,wiki,70,False,No information available.,2.0,True,1.8,8337.0,11.0,8348.0
2,5,wiki,71,False,Tokyo Fire Department.,2.0,True,20.8,8386.0,12.0,8398.0
2,5,wiki,73,False,I don't have that information.,2.0,True,53.6,8149.0,332.0,8481.0
2,5,wiki,72,False,Commuter rail network.,2.0,True,53.8,8237.0,16.0,8253.0
2,5,wiki,74,False,Action painting.,2.0,True,53.7,8139.0,10.0,8149.0
2,5,wiki,75,False,None mentioned.,2.0,True,35.2,8261.0,10.0,8271.0
2,5,wiki,77,False,There is no answer.,2.0,True,1.3,8245.0,30.0,8275.0
2,5,wiki,76,False,No information.,2.0,True,1.3,8269.0,10.0,8279.0
2,5,wiki,79,True,Hockey,1.0,False,0.8,7173.0,3.0,7176.0
2,5,wiki,78,True,MetLife Stadium,2.0,True,1.8,8235.0,10.0,8245.0
2,5,wiki,82,False,New York City Subway.,2.0,True,0.9,8233.0,15.0,8248.0
2,5,wiki,84,False,No information.,2.0,True,2.0,8227.0,10.0,8237.0
2,5,wiki,80,False,There is no answer to this question in the passage.,2.0,True,3.6,8149.0,336.0,8485.0
2,5,wiki,81,False,I don't have the information to answer that question.,2.0,True,4.1,8143.0,336.0,8479.0
2,5,wiki,83,False,No information provided.,2.0,True,4.1,8249.0,11.0,8260.0
2,5,wiki,85,False,No information provided.,2.0,True,1.7,7972.0,17.0,7989.0
2,5,wiki,87,False,None mentioned.,2.0,True,20.1,8233.0,10.0,8243.0
2,5,wiki,88,False,No information.,2.0,True,53.4,8137.0,310.0,8447.0
2,5,wiki,89,False,I don't have that information.,2.0,True,53.7,8143.0,44.0,8187.0
2,5,wiki,86,False,No answer available.,2.0,True,55.2,8141.0,329.0,8470.0
2,5,wiki,92,False,1.4 million.,2.0,True,0.9,8344.0,15.0,8359.0
2,5,wiki,93,False,"No information is provided about the book ""New York, culture capital of the world, 1940–1965"" or its location.",2.0,True,1.0,8283.0,35.0,8318.0
2,5,wiki,94,True,Fifth Avenue,1.0,False,0.4,7175.0,4.0,7179.0
2,5,wiki,96,True,JFK International Airport.,2.0,True,0.8,8223.0,12.0,8235.0
2,5,wiki,97,False,Theater.,1.0,False,0.3,7171.0,4.0,7175.0
2,5,wiki,91,False,No information provided.,2.0,True,3.0,8147.0,329.0,8476.0
2,5,wiki,98,False,Geographically,1.0,False,0.6,7174.0,3.0,7177.0
2,5,wiki,90,False,No information is given about the number of councilors on the City Council.,2.0,True,38.0,8137.0,340.0,8477.0
2,5,wiki,95,False,No answer available.,2.0,True,3.7,8139.0,272.0,8411.0
2,5,wiki,100,False,Eastern District of New York.,2.0,True,2.5,8305.0,16.0,8321.0
2,5,news,12,False,None.,2.0,True,1.5,25347.0,9.0,25356.0
2,5,wiki,99,False,I don't have the information.,2.0,True,4.3,8147.0,332.0,8479.0
2,5,news,15,True,Assistant Attorney General Alice Fisher.,2.0,True,18.9,25376.0,16.0,25392.0
2,5,news,13,False,Early Friday.,2.0,True,20.2,25130.0,268.0,25398.0
2,5,news,14,False,Three Chinese citizens.,2.0,True,53.8,25402.0,347.0,25749.0
2,5,news,17,True,Demand full democracy be restored in Pakistan.,1.0,False,35.2,24459.0,9.0,24468.0
2,5,news,18,False,Yes.,2.0,True,2.9,25392.0,222.0,25614.0
2,5,news,20,False,Lionel Messi,2.0,True,1.0,25381.0,53.0,25434.0
2,5,news,21,False,"Cape Town, South Africa.",1.0,False,0.4,24457.0,8.0,24465.0
2,5,news,22,False,No information is provided about a yacht.,2.0,True,1.4,25194.0,15.0,25209.0
2,5,news,23,False,Andersen Air Force Base.,2.0,True,0.7,25331.0,13.0,25344.0
2,5,news,24,False,Misdemeanor.,1.0,False,0.4,24459.0,6.0,24465.0
2,5,news,16,False,"Air Chief Marshal Angus Houston, Gen. Carlos Branco.",2.0,True,41.6,25371.0,1183.0,26554.0
2,5,news,25,False,Finch and Canary Fighting Case.,2.0,True,0.8,25420.0,20.0,25440.0
2,5,news,27,False,Colombian President Evo Morales,1.0,False,0.4,24460.0,7.0,24467.0
2,5,news,28,False,Not mentioned.,2.0,True,0.7,25568.0,10.0,25578.0
2,5,news,29,False,Surrey,1.0,False,0.4,24456.0,4.0,24460.0
2,5,news,26,False,Withdrew support,1.0,False,1.7,24458.0,5.0,24463.0
2,5,news,30,False,Nowhere (mentioned),2.0,True,3.5,25383.0,531.0,25914.0
2,5,news,11,False,Afghanistan.,2.0,True,77.6,25369.0,1178.0,26547.0
2,5,news,19,True,Julio Cruz.,2.0,True,22.4,25438.0,11.0,25449.0
2,5,news,33,False,Heidi Tagliavini,1.0,False,4.6,24457.0,7.0,24464.0
2,5,news,34,False,No one.,2.0,True,36.1,25406.0,10.0,25416.0
2,5,news,31,False,No information is given about the Commonwealth Games.,2.0,True,51.1,25395.0,1183.0,26578.0
2,5,news,32,False,No information.,2.0,True,47.8,25379.0,1174.0,26553.0
2,5,news,35,False,There is no information about Ray Gravell in the passage.,2.0,True,37.0,25297.0,20.0,25317.0
2,5,news,38,False,No one.,2.0,True,2.9,25533.0,13.0,25546.0
2,5,news,39,False,Augustin Binya,1.0,False,1.4,24455.0,5.0,24460.0
2,5,news,41,False,The helicopter.,1.0,False,0.4,24461.0,4.0,24465.0
2,5,news,42,False,Cape Town,1.0,False,1.0,24457.0,4.0,24461.0
2,5,news,43,True,Genocide,1.0,False,0.4,24460.0,3.0,24463.0
2,5,news,44,False,Veterans' care programs,1.0,False,0.5,24458.0,6.0,24464.0
2,5,news,36,False,No information.,2.0,True,7.9,25302.0,1168.0,26470.0
2,5,news,45,False,"Key to this dialogue, however, is some willingness on your part to actually find common ground.",2.0,True,0.8,25499.0,26.0,25525.0
2,5,news,47,False,6,1.0,False,0.3,24455.0,2.0,24457.0
2,5,news,48,False,Nothing.,2.0,True,0.9,25439.0,36.0,25475.0
2,5,news,37,False,Chief of the Defence Force Air Chief Marshal Angus Houston.,2.0,True,9.6,25369.0,1185.0,26554.0
2,5,news,49,False,Terrorists and narcotraffickers.,2.0,True,1.3,25290.0,17.0,25307.0
2,5,news,51,False,Taliban militants.,2.0,True,3.4,25371.0,54.0,25425.0
2,5,news,46,False,CNN,2.0,True,18.3,25412.0,8.0,25420.0
2,5,news,52,False,No information.,2.0,True,46.1,25532.0,10.0,25542.0
2,5,news,50,False,No information is given about BUPA.,2.0,True,50.6,25391.0,1183.0,26574.0
2,5,news,55,False,Alvaro Uribe,1.0,False,0.4,24460.0,6.0,24466.0
2,5,news,54,False,No information.,2.0,True,1.7,25525.0,16.0,25541.0
2,5,news,57,False,Polyps removed.,1.0,False,0.5,24454.0,5.0,24459.0
2,5,news,58,False,Putin.,2.0,True,1.5,25442.0,9.0,25451.0
2,5,news,59,False,There is no information about female-only buses in the passage.,2.0,True,1.4,25144.0,19.0,25163.0
2,5,news,56,False,No score mentioned.,2.0,True,5.3,25346.0,11.0,25357.0
2,5,news,61,False,There is no mention of Iwo Jima in the passage.,2.0,True,1.0,25144.0,20.0,25164.0
2,5,news,62,False,No information about a person named Strank.,2.0,True,1.2,25375.0,73.0,25448.0
2,5,news,63,False,34,1.0,False,0.4,24457.0,2.0,24459.0
2,5,news,64,False,Indian citizens.,2.0,True,0.9,25314.0,22.0,25336.0
2,5,news,65,True,Princess Eugenie,1.0,False,0.3,24464.0,5.0,24469.0
2,5,news,66,True,National Hurricane Center,1.0,False,0.3,24455.0,4.0,24459.0
2,5,news,67,False,Full democracy be restored in Pakistan.,1.0,False,0.5,24454.0,8.0,24462.0
2,5,news,53,False,There is no mention of a teacher in the passage.,2.0,True,49.2,25383.0,1185.0,26568.0
2,5,news,69,False,Six-match ban,1.0,False,0.3,24456.0,4.0,24460.0
2,5,news,68,False,No one.,2.0,True,14.9,25379.0,1174.0,26553.0
2,5,news,70,False,No information is provided about Michael Vick.,2.0,True,10.5,25371.0,57.0,25428.0
2,5,news,71,False,No information is available in the passage.,2.0,True,34.6,25140.0,15.0,25155.0
2,5,news,72,False,Opposition legislators.,2.0,True,35.1,25324.0,11.0,25335.0
2,5,news,73,False,None.,2.0,True,0.9,25423.0,9.0,25432.0
2,5,news,75,False,No information is provided about SP shareholders.,2.0,True,2.1,25445.0,21.0,25466.0
2,5,news,76,False,Assault.,1.0,False,0.8,24456.0,4.0,24460.0
2,5,news,77,True,The August war between Georgia and Russia.,1.0,False,0.4,24463.0,9.0,24472.0
2,5,news,78,False,No one.,2.0,True,1.2,25423.0,10.0,25433.0
2,5,news,79,False,None.,2.0,True,0.7,25358.0,9.0,25367.0
2,5,news,80,False,None mentioned.,2.0,True,2.0,25355.0,10.0,25365.0
