question_id,question,answer,evidence_char_pos,evidence_word_pos,type
59,What are they alleged to have done?,"two Floridians with taking $340,000 in funds intended for victims of last year's environmental disaster",12151,1994,newsqa_extractive
60,What figure are they alleged to have claimed?,"$340,000",12178,1998,newsqa_extractive
61,Prosecutors say the two claimed how much money intended for victims of the Gulf spill?,"$340,000",12178,1998,newsqa_extractive
62,Who appeared in federal court?,"Joseph Harvey, 51, and Anja Kannell, 41,",12317,2018,newsqa_extractive
63,Who will appear in federal court?,"Anja Kannell,",12340,2022,newsqa_extractive
64,Where are these people from?,"Delray Beach, Florida,",12361,2026,newsqa_extractive
65,Did many people die?,"killed more than 3,000",13538,2207,newsqa_extractive
66,is survivors cyclone?,impoverished,13575,2214,newsqa_extractive
67,What are survivors waiting for?,aid to arrive.,13671,2229,newsqa_extractive
68,Where are the survivors of Cyclone Sidr,"Patargata,",13707,2235,newsqa_extractive
69,What is the death toll?,"3,114",13837,2257,newsqa_extractive
70,What did officials say the death toll could rise to?,"10,000.",14037,2293,newsqa_extractive
71,What number could the deaths rise to?,"10,000.",14037,2293,newsqa_extractive
72,What number are estimated to be homeless?,"280,000",14848,2427,newsqa_extractive
73,What is the estimated number of homeless?,"280,000",14848,2427,newsqa_extractive
74,What is the amount of estimated homeless,"280,000",14848,2427,newsqa_extractive
75,What number of people are estimated homeless?,"280,000",14848,2427,newsqa_extractive
76,Who is sending aid?,Bangladesh President Iajuddin Ahmed,15781,2585,newsqa_extractive
77,Who is the Bangladeshi president?,Iajuddin Ahmed,15802,2587,newsqa_extractive
78,What is the Bangladeshi president distributing,handing out some aid,15855,2594,newsqa_extractive
79,What did Bangladeshi president distribute?,some aid,15867,2596,newsqa_extractive
80,What aid is on its way to Bangladesh?,relief supplies,16800,2744,newsqa_extractive
81,Who is Banksy?,Britain's most wanted artist,17747,2889,newsqa_extractive
82,What is the artist's identity?,a secret.,17929,2921,newsqa_extractive
83,What is the British graphic artist's identity?,a secret.,17929,2921,newsqa_extractive
84,Who has removed his public works?,Tower Hamlets council authority,18291,2986,newsqa_extractive
85,What country is he from?,"England,",18426,3007,newsqa_extractive
86,Which country is the graphic artist fror,"England,",18426,3007,newsqa_extractive
87,which it is the subject of his works?,subversive and satirical public art. Depicting things such as riot police with smiley acid-house faces,18490,3019,newsqa_extractive
88,which are the major works of this artist?,"Depicting things such as riot police with smiley acid-house faces and camera-wielding rats, his",18527,3024,newsqa_extractive
89,Which celebrities collect his work?,Brad Pitt,19016,3104,newsqa_extractive
90,Who collects his art?,Brad Pitt,19016,3104,newsqa_extractive
91,What is he feted by?,"art dealers and artists,",19290,3153,newsqa_extractive
92,who was fated by the art?,"dealers and artists, including Damien Hirst,",19294,3154,newsqa_extractive
93,Whose identity remains a mystery despite huge popularity?,Banksy's,19964,3274,newsqa_extractive
94,What remains a mystery?,Banksy's identity,19964,3274,newsqa_extractive
95,What did authorities remove?,his graffiti from their streets.,20805,3420,newsqa_extractive
96,"What number, in addition on Al-Hussein, were rounded up this month?",18 other women,21458,3538,newsqa_extractive
97,What were people rounded up for?,wearing indecent clothes.,21488,3544,newsqa_extractive
98,Whose case is scheduled to continue August 4?,Lubna al-Hussein's,21548,3552,newsqa_extractive
99,When is the case scheduled to continue?,August 4.,21612,3561,newsqa_extractive
100,When is the case going to continue?,August 4.,21612,3561,newsqa_extractive
101,What was Al-Hussein told about her clothes?,"too transparent,",21798,3596,newsqa_extractive
102,What was his rank?,Army staff sergeant,23109,3795,newsqa_extractive
103,What will a president present to soldier's parents in September,Medal of Honor,23159,3802,newsqa_extractive
104,What will the President present?,Medal of Honor,23159,3802,newsqa_extractive
105,What did he give his life for?,"in an effort to save another soldier in Afghanistan,",23207,3811,newsqa_extractive
106,What did Monti give his life for?,"to save another soldier in Afghanistan,",23220,3814,newsqa_extractive
107,What was the soldiers name?,Staff Sgt. Jared Monti,23327,3830,newsqa_extractive
108,Who is being honored?,Staff Sgt. Jared Monti,23327,3830,newsqa_extractive
109,What did Monti show?,immeasurable courage and uncommon valor,24158,3966,newsqa_extractive
110,Which company does the order prohibits Americans from dealing with?,North Korean,25123,4115,newsqa_extractive
111,What is Hyoksin linked to?,country's nuclear weapons program.,25190,4127,newsqa_extractive
112,What is linked to corporation associated with weapons of mass destruction?,Korea Hyoksin Trading,25370,4152,newsqa_extractive
113,What is Hyoksin involved with,a proliferator of weapons of mass destruction.,25517,4174,newsqa_extractive
114,What freezes Hyoksin's U.S. assets?,The order,25567,4181,newsqa_extractive
115,What did the U.N. recently cite Hyoksin for?,involvement in development of weapons of mass destruction.,25784,4217,newsqa_extractive
116,What kind of conditions will be brought by nor'easter?,blizzard,26515,4323,newsqa_extractive
117,What is the Nor'easter expected to bring?,rain and near-hurricane-force wind gusts to Northeastern coastal areas Wednesday through Friday.,26569,4331,newsqa_extractive
118,Which area will get little snow?,"Boston, Massachusetts,",26705,4350,newsqa_extractive
119,Where is little snow expected?,"Boston, Massachusetts,",26705,4350,newsqa_extractive
120,"Upstate New York, Vermont, New Hampshire and Maine could get 30 inches of what ?",snowfall,26902,4378,newsqa_extractive
121,"Upstate New York, Vermont, New Hampshire and Maine could get how much snow ?",30 inches,26921,4381,newsqa_extractive
122,Which states could get 30 inches of snow?,"upstate New York, Vermont, New Hampshire and Maine,",26963,4389,newsqa_extractive
123,Which areas could get 30 inches of snow?,"upstate New York, Vermont, New Hampshire and Maine,",26963,4389,newsqa_extractive
124,What did officials say?,"The more than 3,000-acre fire began burning around 1 p.m. Thursday in North Washoe Valley,",28575,4632,newsqa_extractive
125,How many acres are affected by the fire?,"more than 3,000-acre",28579,4633,newsqa_extractive
126,How many acres did the fire affect?,"3,000-acre",28589,4635,newsqa_extractive
127,Who says there has been no containment of the fire?,"Nancy Leuenhagen,",28806,4670,newsqa_extractive
128,What government along with the U.N. is investigating?,Lebanon's,30047,4860,newsqa_extractive
129,What is the UN and Lebanon investigating?,the firing of rockets into northern Israel,30082,4864,newsqa_extractive
130,What is being investigated?,source of rockets,30316,4903,newsqa_extractive
131,What did the Prime Minister say?,"""What happened in the south [of Lebanon] is a violation of Resolution 1701 and is rejected by Lebanon,""",30749,4972,newsqa_extractive
132,Which UN resolution was violated?,1701,30819,4984,newsqa_extractive
133,What country does Siniora lead?,"Lebanon,""",30843,4989,newsqa_extractive
134,Who called the attack a violation of U.N resolution?,Lebanese Prime Minister Fouad Siniora,30853,4990,newsqa_extractive
135,What is Fouad Siniora's political office?,Lebanese Prime Minister,30853,4990,newsqa_extractive
136,Who did the father want to convert?,12-year-old boy,32621,5267,newsqa_extractive
137,What is the case about?,"whether M agrees or objects to the circumcision.""",32823,5301,newsqa_extractive
138,What is the case part of?,"a long-running custody dispute between James and Lia Boldt,",32910,5317,newsqa_extractive
139,What religion did the father convert to?,Judaism,33030,5336,newsqa_extractive
140,What did the father convert to?,Judaism,33030,5336,newsqa_extractive
141,When did the father convert to Judaism?,and later converted.,33038,5337,newsqa_extractive
142,What does the father want the son to do?,have the circumcision procedure.,33233,5374,newsqa_extractive
143,What did the father want the son to do?,have the circumcision procedure.,33233,5374,newsqa_extractive
144,What faith is the mother?,Russian Orthodox,33330,5389,newsqa_extractive
145,What is the case a part of?,James Boldt v. Lia Boldt (S054714).,34818,5629,newsqa_extractive
146,What corporation says it may not be able to meet supply contracts after the Nigerian attack?,Royal Dutch Shell,34904,5644,newsqa_extractive
147,What reason can Shell not meet supply contracts?,after an attack on its major pipeline.,35005,5663,newsqa_extractive
148,What will cause Shell to not be able t omeet supply contracts?,an attack on its major pipeline.,35011,5664,newsqa_extractive
149,Who sabotaged two of Shell's oil pipelines?,"The Movement for the Emancipation of the Niger Delta (MEND), a rebel group,",35136,5684,newsqa_extractive
150,What rebel group was responsible for this?,"the Emancipation of the Niger Delta (MEND),",35153,5687,newsqa_extractive
151,Whose pipelines were sabotaged?,Shell's,35290,5708,newsqa_extractive
152,When were the pipelines sabotaged?,early Monday.,35308,5710,newsqa_extractive
153,What position did Griffin Bell hold?,"attorney general in the Carter administration,",37420,6065,newsqa_extractive
154,What did Carter say?,"""A trusted and enduring public figure, Griffin's integrity, professionalism, and charm were greatly valued across party lines and presidential administrations,""",37751,6117,newsqa_extractive
155,Who nominated Bell for attorney general?,Jimmy Carter,38766,6281,newsqa_extractive
156,Who nominated Griffin Bell?,Jimmy Carter,38766,6281,newsqa_extractive
157,Who did the Georgia Democrats endorse in 2004?,President George W. Bush,39511,6399,newsqa_extractive
158,Who did Bell endorse in 2004?,President George W. Bush,39511,6399,newsqa_extractive
159,Which comic book character finally chooses between Betty and Veronica?,Archie Andrews,40026,6480,newsqa_extractive
160,Who is Archie Andrews choosing between?,with girl-next-door Betty Cooper and heiress-next-door Veronica Lodge,40087,6490,newsqa_extractive
161,What does Archie Andrews chose between?,Betty Cooper,40107,6492,newsqa_extractive
162,What milestone issue is it?,600th,40758,6605,newsqa_extractive
163,The fictional marriage marks which milestone issue?,600th,40758,6605,newsqa_extractive
164,who is working with the family,Forest Lawn officials,42180,6843,newsqa_extractive
165,What are cemetery officials working on?,"their plans, which were part of ""a package"" of events",42242,6853,newsqa_extractive
166,What is still not publicly known?,answer questions about where or when Jackson would be buried.,42422,6882,newsqa_extractive
167,What is still not pubilcly known?,where or when Jackson would be buried.,42445,6885,newsqa_extractive
168,What did the brother say,service would be held Tuesday morning.,42891,6961,newsqa_extractive
169,Where is the memorial to be held?,for Michael Jackson at the Staples Center in Los Angeles is set,42951,6970,newsqa_extractive
170,Where will the public memorial be held?,at the Staples Center in Los Angeles,42971,6973,newsqa_extractive
171,When will a private service be held?,at 10 a.m. PT Tuesday.,43024,6984,newsqa_extractive
172,What country will Portugal face?,Bosnia and Herzegovina,43856,7119,newsqa_extractive
173,who is paired in Thursday's playoff draw?,Bosnia and Herzegovina,43856,7119,newsqa_extractive
174,What is Portugal trying to qualify for?,a place in Euro 2012,43883,7123,newsqa_extractive
175,Where will Portugal face Bosnia Herzegovina?,Poland and Ukraine,43978,7142,newsqa_extractive
176,Turkey will play who in Thursday's playoff draw?,Croatia,44493,7228,newsqa_extractive
177,What country will Croatia play?,Turkey,44513,7232,newsqa_extractive
178,Montenegro will play against who?,Czech Republic,45244,7345,newsqa_extractive
179,through whom will the updates be provided,CNN.com,45888,7446,newsqa_extractive
180,On what media will Bellini provide updates of his travels,CNN.com,45888,7446,newsqa_extractive
181,Where does Jarret provide updates about his travels?,CNN.com,45888,7446,newsqa_extractive
182,Who is Jarrett Bellini?,CNN.com Live producer,45888,7446,newsqa_extractive
183,What is that readers are able to chose and suggest,"vacation destination,",45928,7451,newsqa_extractive
184,what did they choose,South Africa.,45964,7456,newsqa_extractive
185,Where did jarret go?,South Africa.,45964,7456,newsqa_extractive
186,to where is she travelling,"Cape Town, South Africa.",46067,7471,newsqa_extractive
187,In which country to Jarrett Bellini traveling,South Africa.,46078,7473,newsqa_extractive
188,"Who arrived in Doha, Qatar?",President Omar al-Bashir,47904,7807,newsqa_extractive
189,What does the move do?,could put him at risk of arrest on war crimes charges leveled by a U.N. tribunal.,47994,7823,newsqa_extractive
190,What does the move put him at risk for?,arrest on war crimes charges,48019,7829,newsqa_extractive
191,What is he at risk of?,arrest on war crimes charges leveled by a U.N. tribunal.,48019,7829,newsqa_extractive
192,Who issued the arrest warrant over the Darfur campaign?,"the International Criminal Court,",48384,7887,newsqa_extractive
193,Who  issued arrest warrant over Darfur campaign ?,"International Criminal Court,",48388,7888,newsqa_extractive
194,Where were bodies found?,Tennessee.,50012,8152,newsqa_extractive
195,Which states were the bodies found in?,Alabama.,50049,8159,newsqa_extractive
196,Who was taken into custody?,Kristin Helm of the Tennessee Bureau of Investigation told CNN on Saturday that authorities have Jacob Shafer in,50166,8175,newsqa_extractive
197,What is the suspect's name?,Jacob Shafer,50263,8190,newsqa_extractive
198,What is the name of the suspect?,Jacob Shafer,50263,8190,newsqa_extractive
199,What is suspect's name?,Jacob Shafer,50263,8190,newsqa_extractive
200,Who is fighting?,Hutu tribal fighters and several Rwandan and Congolese troops,51777,8433,newsqa_extractive
201,What groups are fighting?,Rwandan and Congolese troops,51810,8438,newsqa_extractive
202,where did the fight occur,"eastern Congo,",51866,8447,newsqa_extractive
203,Who has been arrested?,"Laurent Nkunda,",52008,8466,newsqa_extractive
204,what caused the fight,"rebel leader Laurent Nkunda, of the rival Tutsi ethnic group, was arrested by Rwandan authorities.",52181,8494,newsqa_extractive
205,What caused the fighting to begin?,was arrested by Rwandan authorities.,52243,8504,newsqa_extractive
206,Who was kidnapped in Benghazi?,Abdul Fattah Younis al Abidi,53592,8709,newsqa_extractive
207,Who did the gangs kidnap?,Abdul Fattah Younis al Abidi,53592,8709,newsqa_extractive
208,What did Al Abidi say?,"that he resigned Monday after hearing that 300 unarmed civilians had been killed in Benghazi, Libya's second-largest city.",53640,8717,newsqa_extractive
209,What did Libyan state tv report?,"""gangs"" in Benghazi had kidnapped him.",53909,8759,newsqa_extractive
210,What is al Abidi prediction?,"will achieve victory in ""days or hours.""",54688,8878,newsqa_extractive
211,When will they acheive victory?,"""days or hours.""",54712,8882,newsqa_extractive
212,Which teens get to attend a prom of their own?,those with special needs.,56117,9101,newsqa_extractive
213,Who was the organizer who arranged the top talent?,Helen McCormick,56263,9124,newsqa_extractive
214,Who is the organiser?,Helen McCormick,56263,9124,newsqa_extractive
215,Who gets to attend prom of their own?,children with special needs.,56619,9181,newsqa_extractive
216,What is held at the Willard InterContinental Hotel in Washington?,"This year's prom,",56651,9185,newsqa_extractive
217,Where is the ball held?,Willard InterContinental Hotel in Washington.,56730,9198,newsqa_extractive
218,Where is the Cinderall ball held at?,Willard InterContinental Hotel in Washington.,56730,9198,newsqa_extractive
219,Who gets to attend the cinderalla Ball?,"various disabled children with kidney (ailments), children that are literally terminally ill, children with cerebral palsy, Down syndrome and autism,""",57048,9252,newsqa_extractive
220,Which country is the biggest exporter?,"Brazil,",58628,9517,newsqa_extractive
221,Which country is the larjest juice exporter?,"Brazil,",58628,9517,newsqa_extractive
222,What does the producer say?,"""We didn't even know that it had been banned in orange juice in the United States in 2009,""",59375,9643,newsqa_extractive
223,who can adapt to American system,Brazilian growers,59894,9727,newsqa_extractive
224,How much does the US buy?,15 percent,60029,9748,newsqa_extractive
225,what was the source told?,actually used on CIA detainee Abu Zubaydah.,60950,9898,newsqa_extractive
226,Who did support letter voicing?,Nancy Pelosi,61009,9907,newsqa_extractive
227,What was Pelosi adamant about?,waterboard usage because she wasn't personally briefed,61042,9912,newsqa_extractive
228,Who found information of waterboarding?,Harman,61704,10012,newsqa_extractive
229,what was Pelosi adamant of?,that she did not know waterboarding,62009,10059,newsqa_extractive
230,What will let families move on with their lives?,$15.5 million payout,63017,10234,newsqa_extractive
231,Executed environmental activist's family sued what type of company?,oil giant,63046,10239,newsqa_extractive
232,Who's son says Shell payout will let families move on with lives?,executed Nigerian writer Ken Saro-Wiwa,63117,10252,newsqa_extractive
233,What region's people will be helped?,Nigeria's Ogoni,63683,10344,newsqa_extractive
234,What have residents long complained?,that Shell was allowed to pollute its land without consequences.,63732,10351,newsqa_extractive
235,What does Ken Saro-Wiwa's son say?,"""It enables us to draw a line under the past and actually face",63937,10381,newsqa_extractive
236,Half of the settlement will go to help who?,"the people of Nigeria's Ogoni region,",65130,10583,newsqa_extractive
237,Who is the reigning World Player of the Year?,Cristiano Ronaldo,65201,10594,newsqa_extractive
238,who is reigning holder of the award?,Cristiano Ronaldo,65201,10594,newsqa_extractive
239,For what were the nominations?,FIFA World Player of the Year,65248,10603,newsqa_extractive
240,Where does the ceremony take place?,"Zurich, Switzerland,",65566,10657,newsqa_extractive
241,Who was nominated?,"Michael Ballack (Germany), Gianluigi Buffon (Italy), Iker Casillas (Spain),Cristiano Ronaldo (Portugal), Diego (Brazil), Didier Drogba (Ivory Coast), Michael Essien (Ghana), Samuel Eto'o (Cameroon), Steven Gerrard (England), Thierry Henry (France), Zlatan Ibrahimovic (Sweden), Andres Iniesta (Spain), Kaka (Brazil), Frank Lampard (England), Luis Fabiano (Brazil), Lionel Messi (Argentina), Carles Puyol (Spain), Franck Ribery (France), Wayne Rooney (England), John Terry (England), Fernando Torres (Spain), David Villa (Spain), Xavi (Spain).",66269,10758,newsqa_extractive
242,who ended his career?,Paolo Maldini and Luis Figo,66828,10827,newsqa_extractive
243,Which club lost to AS Roma 3-2?,Torino,68199,11049,newsqa_extractive
244,what was the score against AS Roma?,3-2 at AS,68276,11064,newsqa_extractive
245,What was the result in the defeat of Torino?,3-2,68276,11064,newsqa_extractive
246,who battles with yemen,Shiite rebel group,68575,11120,newsqa_extractive
247,Who has expressed concern for Yemen's territorial integrity?,Iranian Foreign Minister Manouchehr Mottaki,68878,11168,newsqa_extractive
248,who is the minister,Manouchehr Mottaki,68903,11171,newsqa_extractive
249,what was launched,a new offensive,69454,11252,newsqa_extractive
250,What have the Saudis launched?,new offensive,69456,11253,newsqa_extractive
251,Who has launched airstrikes against rebels?,"Saudi Arabia,",69486,11258,newsqa_extractive
252,Who has launched airstikes?,"Saudi Arabia,",69486,11258,newsqa_extractive
253,Who expanded the power of government to eavesdrop?,The Democratic-led Congress,71189,11533,newsqa_extractive
254,What did the measure do?,temporarily expand government's power to conduct electronic surveillance without a court order in tracking foreign suspects.,71283,11546,newsqa_extractive
255,What did the ruling push for?,power to conduct electronic surveillance without a court order in tracking foreign suspects.,71315,11549,newsqa_extractive
256,what prompted push for updating the program?,possible attacks on the United States.,71783,11618,newsqa_extractive
257,What was spotted drifting towards New Zealand's coast?,massive iceberg,72711,11772,newsqa_extractive
258,What is the area of the iceberg?,"140 square km (54 square miles),",72881,11797,newsqa_extractive
259,What was the size of the iceberg?,140 square km,72881,11797,newsqa_extractive
260,What did the iceberg cleave off of?,ice shelf nearly 10 years ago,72929,11806,newsqa_extractive
261,When did the iceberg form?,10 years ago,72946,11809,newsqa_extractive
262,What was the iceberg named?,"B17B,",73056,11826,newsqa_extractive
263,How far away from Australia was it when it was spotted?,"about 1,700 km (1,056 miles)",73069,11829,newsqa_extractive
264,Where was B17B?,"about 1,700 km (1,056 miles) off the coast of West Australia,",73069,11829,newsqa_extractive
265,What did Lyon score in their match?,5-2,75451,12223,newsqa_extractive
266,What was the score in the match between Barcelona and Lyon?,5-2,75451,12223,newsqa_extractive
267,What was the final score of the Barcelona vs Lyon game?,5-2,75451,12223,newsqa_extractive
268,What was the score of the Barcelona game?,5-2,75451,12223,newsqa_extractive
269,What team did Porto play against?,Atletico,75699,12264,newsqa_extractive
270,How long was Eluana in a coma for?,17 years,77935,12655,newsqa_extractive
271,What will happen when Englano is transferred to a private clinic?,she is expected,77994,12665,newsqa_extractive
272,Who was in a coma for 17 years?,Eluana Englaro,78099,12684,newsqa_extractive
273,Who has been in a coma?,Eluana Englaro,78099,12684,newsqa_extractive
274,Who was taken to a private clinic?,Eluana Englaro,78206,12703,newsqa_extractive
275,Who wanted the feeding tube removed?,her father,78318,12723,newsqa_extractive
276,What is her father fighting for?,"feeding tube removed,",78352,12730,newsqa_extractive
277,Where was Englaro transferred to?,northeastern Italian city of Udine,79737,12974,newsqa_extractive
278,What microsoft is offering?,"substantial new discounts on laptops, phones, software, games and its Kinect gaming system for the Xbox 360 console.",81266,13226,newsqa_extractive
279,When are the discounts?,"Friday at 12:01 a.m. PT,",81411,13248,newsqa_extractive
280,Where are the discounts available?,Microsoft stores,81446,13255,newsqa_extractive
281,Where the deals are available?,"in stores, while others are offered only at Microsoft's online store.",81537,13270,newsqa_extractive
282,What has the actor also written?,an autobiography.,82768,13467,newsqa_extractive
283,What is the name of Shatner's book?,"""Up Till Now,""",82899,13489,newsqa_extractive
284,What is the name of his autobiography?,"""Up Till Now,""",82899,13489,newsqa_extractive
285,On what channel is Shatner's show appearing?,Biography,82973,13505,newsqa_extractive
286,What show did Shatner laugh his way through?,"""Boston Legal""",83493,13590,newsqa_extractive
287,What does Shatner say about his time on Boston Legal?,"We laughed our way through five years of great joy, great entertainment, and we got some wonderful awards during the years and the beauty of it all was that when we came in this season, we knew we were going to do 13 shows and be out. So the writing reflected the fact that we knew we were ending and it wrapped the whole show up.",83614,13611,newsqa_extractive
288,What is Monzer al Kassar accused of?,conspiring to sell weapons to FARC rebels.,85011,13867,newsqa_extractive
289,When did Monzer al Kassar's arrest occur?,in Spain last year.,85152,13890,newsqa_extractive
290,what was involved in the arrest?,undercover DEA officers,85646,13974,newsqa_extractive
291,what was recalled?,"2,498 cartons of chopped or shredded romaine lettuce",86801,14149,newsqa_extractive
292,What was the lettuce contaminated with?,listeria monocytogenes,87254,14220,newsqa_extractive
293,what bacteria was found?,listeria monocytogenes,87254,14220,newsqa_extractive
294,What type of bacteria was it?,listeria,88523,14413,newsqa_extractive
295,What is the boy's age?,Twelve-year-old,88779,14455,newsqa_extractive
296,What boy that was 12 lost his leg in a car bombing in Iraq?,"Mohammed Rasoul,",88795,14456,newsqa_extractive
297,What happen to the boy?,"right leg severed below the knee,",88816,14459,newsqa_extractive
298,What happened to his cousin?,died on the scene.,89543,14588,newsqa_extractive
299,What did the boy lose in the car bombing?,his leg and his childhood.,89622,14602,newsqa_extractive
300,What type of leg will the boy get?,prosthetic,91364,14907,newsqa_extractive
301,charity director says helping the boy makes her what,"me cry with joy.""",91632,14956,newsqa_extractive
302,"What boy quoted ""I want to... meet this person that gave me my future back""?","Mohammed,",91651,14960,newsqa_extractive
303,What did the Jury accept,They accepted the Liverpool captain's version that he acted in self defense,92701,15150,newsqa_extractive
304,What did Gerrard admit doing?,punching businessman Marcus McGhee.,92780,15163,newsqa_extractive
305,Who did Gerrard admit to punching?,businessman Marcus McGhee.,92789,15164,newsqa_extractive
306,How many years old was the businessman?,29-year-old,92823,15168,newsqa_extractive
307,What did Gerrard admit,throwing three punches,94079,15389,newsqa_extractive
308,"Who called it the ""most free election anywhere in the world?""","Iranian President Mahmoud Ahmadinejad,",94763,15504,newsqa_extractive
309,What rocked Iran in days after Ahmadinejad's re-election?,"protests,",94846,15515,newsqa_extractive
310,what did the president say,"""It was a great event,"" he said in a nationally televised address.",95037,15542,newsqa_extractive
311,What does the president say about government criticism?,"""is the key to the success of a nation.""",95755,15648,newsqa_extractive
312,what did he accuse his enemies of,"country's affairs, including the post-election situation.",95934,15680,newsqa_extractive
313,Who killed many people in Darfur ?,Sudanese forces,97054,15851,newsqa_extractive
