문항번호,원본_문서,문제,정답,근거_문자위치,유형,근거_어절위치
30,예수_(1979년_영화),1979년 작 영화 '예수'에서 예수역을 맡은 배우는 누구야?,브라이언 디컨,14818,KorQuAD_추출형,3408
31,박은지_(정치인),박은지가 사망한 채 발견된 날짜는?,2014년 3월 8일,15823,KorQuAD_추출형,3641
32,박은지_(정치인),정치인 박은지가 졸업한 대학교는 어디인가?,고려대학교,15930,KorQuAD_추출형,3664
33,박은지_(정치인),박은지가 정치에 입문한 해는?,2008년,16039,KorQuAD_추출형,3689
34,함경북도_(대한민국),함경북도 경원군에서 면적이 가장 넓은 면은 어디일까요?,경원면,19493,KorQuAD_추출형,4451
35,함경북도_(대한민국),함경북도 경흥군 아오지읍에는 동이 몇 개 있나요?,12,19240,KorQuAD_추출형,4398
36,함경북도_(대한민국),함경북도 길주군 덕산면의 동 숫자는 몇 개일까요?,13,18563,KorQuAD_추출형,4264
37,다닐_아게르,다닐 아게르는 2005년 6월 어떤 나라를 상대로 승리를 거두었을까?,핀란드,21004,KorQuAD_추출형,4805
38,다닐_아게르,다닐 아게르가 2004년 7월 계약을 맺은 팀 이름은 뭐야?,브뢴뷔 IF,20127,KorQuAD_추출형,4591
39,다닐_아게르,다닐 아게르는 덴마크 대표팀에서 총 몇 경기에 출전 했을까?,75,20035,KorQuAD_추출형,4569
40,시부야_역,시부야 역에 해당하는 번호는 무엇인가?,IN01,22743,KorQuAD_추출형,5218
41,시부야_역,시부야 역에 원자폭탄을 주제로 그린 벽화의 이름은 뭐야?,내일의 미신,22172,KorQuAD_추출형,5094
42,환희,환희가 처음 참여한 드라마 OST는 어느 드라마의 수록곡인가?,패션 70's,23512,KorQuAD_추출형,5404
43,환희,환희가 속해있는 그룹 플라이 투 더 스카이가 6집 앨범을 함께하게된 새로 계약한 회사는?,피플크리에이티브,23239,KorQuAD_추출형,5340
44,민덴_전투,영국 총영사관에 신원불명의 장미 6송이가 배달되기 시작한 것이 몇년도부터인가?,1967년,25550,KorQuAD_추출형,5874
45,민덴_전투,민덴전투에서 페르디난트 공작 병력의 사상자 수는?,"2,800명",24718,KorQuAD_추출형,5689
46,민덴_전투,민덴 전투에서 연합군의 공격에 저항했던 프랑스 부대를 지휘한 지휘관의 이름은 무엇인가?,드 브로이,24366,KorQuAD_추출형,5610
47,정운천,2008년에 임기를 시작한 대한민국의 전 대통령은 누구인가?,이명박,26746,KorQuAD_추출형,6136
48,정운천,정치인 정운천은 2011년 초에 어떤 자리를 역임하고 있었어?,한나라당 구제역대책특위 위원장,27742,KorQuAD_추출형,6368
49,정운천,33대 지방 선거에서 정운천의 득표율은?,18,27582,KorQuAD_추출형,6331
50,청량읍,청량읍에 들어서는 5일장은 무엇인가?,덕하오일장,28754,KorQuAD_추출형,6588
51,청량읍,"1910년대에 개산동, 진곡동으로 불린 청량읍의 지역은 현재 어떤 이름으로 불리고 있을까?",개곡리,28702,KorQuAD_추출형,6577
52,인도의_대량살상무기,미국과 인도의 원자력 협정으로 불안감이 커진 나라는 어디야?,파키스탄,29749,KorQuAD_추출형,6811
53,인도의_대량살상무기,인도가 핵을 가지고 있음을 공식적으로 인정한건 언제일까?,2017년 1월,31018,KorQuAD_추출형,7102
54,인도의_대량살상무기,호주에서 인도로 우라늄을 수출하기로 한 총리는 누구야?,토니 애벗,31138,KorQuAD_추출형,7131
55,테일즈_오브_데스티니_2,데스티니2는 테일즈 오브 시리즈의 몇번째 메인 타이틀일까요?,4번째,31927,KorQuAD_추출형,7307
56,테일즈_오브_데스티니_2,로니와 카일이 고액의 가치를 가진 렌즈를 얻기 위해 찾아간 곳은 어디인가요?,라그나 유적,32622,KorQuAD_추출형,7471
57,트리파라디소스_협의,"파라타와 인더스 강 이후, 국가를 이끌 통치자를 어느 인물이 지속적으로 유임시켰을까?",포로스,34133,KorQuAD_추출형,7837
58,트리파라디소스_협의,기원전 323년에 알렉산드로스 대왕이 급사한 뒤 왕위를 이어받은 인물은 누구인가?,알렉산더 4세,33212,KorQuAD_추출형,7606
59,김사량,북한에 유일하게 남아있는 김사량의 작품은 무엇일까?,종군기,34930,KorQuAD_추출형,8020
60,김사량,김사량은 북한에서 어떻게 분류된 작가인가요?,비김일성계,34808,KorQuAD_추출형,7992
61,양세종,양세종이 낭만닥터 김사부에서 맡은 역할은 무엇일까?,도인범,36427,KorQuAD_추출형,8352
62,양세종,양세종이 2017 sbs 드라마 사랑의 온도에서 맡았던 배역의 이름은?,온정선,36933,KorQuAD_추출형,8473
63,공각기동대_S.A.C._2nd_GIG,공각기동대 S.A.C 2nd GIG에서 성우 나카노 유타카가 맡은 역의 이름은 무엇일까?,이시카와,38291,KorQuAD_추출형,8791
64,공각기동대_S.A.C._2nd_GIG,공각기동대 SAC 2nd GIG에서 최초의 일본 여성 총리의 이름은?,카야부키 요코,38029,KorQuAD_추출형,8731
65,이현도,이현도가 프로듀싱한 크라운 제이의 미국 데뷔 싱글 음반 제목은 무엇일까?,I'm Good,39258,KorQuAD_추출형,9008
66,이현도,이현도의 앨범 2000 대한민국이 발매된 년도는?,2000년,38923,KorQuAD_추출형,8939
67,이현도,이현도가 2003년 작사 작곡하고 가수 서연이 부른 노래의 제목은?,여름안에서,40445,KorQuAD_추출형,9255
68,케빈_필라,케빈 필라가 중견수로 142경기에 출전하여 몇개의 실책을 했을까?,2개,42008,KorQuAD_추출형,9577
69,케빈_필라,케빈 필라가 벤치에서 폭력을 휘두른 날은 언제야?,2016년 5월 15일,42247,KorQuAD_추출형,9627
70,케빈_필라,케빈 필라는 2014년도에 총 몇 경기에 출전하였는가?,53,41741,KorQuAD_추출형,9524
71,갈라파고스가마우지,갈라파고스가마우지의 크기는 어느정도일까?,90 ~ 100 cm,43217,KorQuAD_추출형,9832
72,갈라파고스가마우지,갈라파고스 가마우지의 알은 부화하는데 시간이 얼마나 걸리는가?,대략 35일,44331,KorQuAD_추출형,10122
73,갈라파고스가마우지,엘니뇨 현상으로 줄어든 총 개체수가 원상으로 회복되기까지는 약 몇개월의 시간이 걸렸을까?,18개월,44867,KorQuAD_추출형,10254
