question_id,doc_id,doc_slug,question,answer,evidence_char_pos,evidence_word_pos,type,answerable_v1000,answerable_v2000,answerable_v3000,answerable_v6000,answerable_v10000,answerable_v20000,answerable_v30000,answerable_v50000
9561a72a_5,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Who are Dorothy's only living relatives?,Aunt Em and Uncle Henry,1829,287,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
9561a72a_6,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Who is Roquat?,King of the Nomes,82698,14930,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
9561a72a_7,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Where is the Nome kingdom located?,underground,8506,1386,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
9561a72a_8,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,What creatures resemble men with carnivorous animal heads?,Phanfasms,112565,20292,narrativeqa_extractive_subset,False,False,False,False,False,False,True,True
9561a72a_9,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,"At the beginning, which two people find Dorothy to be a dream?",Aunt Em and Uncle Henry,1829,287,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
9561a72a_10,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,How does Princess Ozma transport Dorothy's guardians to Oz?,Magic Belt,5353,803,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
9561a72a_11,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Who from the Nome Kingdom is plotting to take back the magic belt?,Roquat,12768,2162,narrativeqa_extractive_subset,False,False,True,True,True,True,True,True
9561a72a_12,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Which veteran soldier sets out to recruit allies for the Nome Kingdom?,Guph,38404,6880,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
9561a72a_13,9561a72a7b909a62c43b5ff74e26103f7a03c4bc,9561a72a,Who quarrels with a crab about a geographical location?,The zebra,158479,28539,narrativeqa_extractive_subset,False,False,False,False,False,False,True,True
bf55d1c1_0,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,What does Adam purchase to kill snakes on his property?,A mongoose,40591,7289,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
bf55d1c1_1,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,Who does Arabella murder?,Oolanga,38889,6980,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
bf55d1c1_2,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,Who witnesses the murder of Oolanga?,Adam,800,127,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
bf55d1c1_3,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,"Who do Adam, Richard, and Nathaniel suspect Arabella wants to kill?",Mimi Watford,46790,8418,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
bf55d1c1_4,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,Who does Adam marry?,Mimi Watford,46790,8418,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
bf55d1c1_5,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,Who is the antagonist in the story?,Arabella,33798,6064,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
bf55d1c1_6,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,What lives in a hole at Arabella's house?,the White Worm,44,8,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
bf55d1c1_7,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,What does Adam buy to get rid of the black snakes he found?,a mongoose,59470,10680,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
bf55d1c1_8,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,Who is killed by Arabella when she drags him into the pit?,Oolanga.,181318,32589,narrativeqa_extractive_subset,False,False,False,False,False,False,False,True
bf55d1c1_9,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,When does the story take place?,1860,1768,300,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
bf55d1c1_10,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,Who is the friend of Richard Salton who Adam worked with to stop Arabella?,Sir Nathaniel de Salis,2626,473,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
bf55d1c1_11,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,Who teams up with Adam to hunt down Arabella to stop her?,Sir Nathaniel de Salis,2626,473,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
bf55d1c1_12,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,"Before visiting his uncle, where was Adam Salton originally from?",Australia,3363,609,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
bf55d1c1_13,bf55d1c14536c04c4b8f8cb18ea8dd490e986066,bf55d1c1,Who does Adam and Sir Nathaniel suspect that Arabella wants to murder next?, Mimi Watford.,132035,23718,narrativeqa_extractive_subset,False,False,False,False,False,False,True,True
ca4b98f5_0,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,What is the title of this story?,The Claverings,32,5,narrativeqa_extractive_subset,True,True,True,True,True,True,True,True
ca4b98f5_1,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,What is the name of Reverend Henry Clavering's only son?,Harry Clavering ,17321,2990,narrativeqa_extractive_subset,False,False,True,True,True,True,True,True
ca4b98f5_2,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,"What firm does Harry become a pupil at, against his father's wishes?",Beilby and Burton,22713,3953,narrativeqa_extractive_subset,False,False,False,True,True,True,True,True
ca4b98f5_3,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,"Where does his widow return to, after Lord Ongar dies?",England,12721,2093,narrativeqa_extractive_subset,False,False,True,True,True,True,True,True
ca4b98f5_4,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who is Florence Burton engaged to?,Harry Clavering,17321,2990,narrativeqa_extractive_subset,False,False,True,True,True,True,True,True
ca4b98f5_5,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,"Who does Harry kiss, while still engaged to Florence Burton?",Lady Ongar ,63958,11635,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
ca4b98f5_6,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,"Who does Harry choose to pursue, after the two women learn about eachother?",Florence Burton,54094,9834,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
ca4b98f5_7,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,How are Harry Clavering and Reverend Henry Clavering related?,father and son,1100110,205676,narrativeqa_extractive_subset,False,False,False,False,False,False,False,False
ca4b98f5_8,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who convinces Harry that Florence is the better woman for him?,His mother,50952,9257,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
ca4b98f5_9,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,How did Sir Hugh and Archie Clavering die?,drowned,1041090,194700,narrativeqa_extractive_subset,False,False,False,False,False,False,False,False
ca4b98f5_10,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who does Harry's fiancee ultimately marry? ,Lord Ongar,7198,1003,narrativeqa_extractive_subset,False,True,True,True,True,True,True,True
ca4b98f5_11,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who asks Harry to assist his former fiancee when she returns to England?,Lady Clavering,19979,3464,narrativeqa_extractive_subset,False,False,False,True,True,True,True,True
ca4b98f5_12,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who encourages Harry to marry Florence Burton? ,His mother,50952,9257,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
ca4b98f5_13,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who wrote a letter offering to end their engagement? ,Florence Burton,54094,9834,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
ca4b98f5_14,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,What type of career does Harry's father want him to take up?,church,12871,2125,narrativeqa_extractive_subset,False,False,True,True,True,True,True,True
ca4b98f5_15,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,What is the name of Harry's second fiancee?,Florence Burton,54094,9834,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
ca4b98f5_16,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who helps Harry realize Florence is the better woman?,His mother,50952,9257,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
ca4b98f5_17,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who becomes unfaithful to their fiance?,Harry Clavering.,19542,3385,narrativeqa_extractive_subset,False,False,False,True,True,True,True,True
ca4b98f5_18,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Who does Harry reaffirnm his love too?,Florence Burton,54094,9834,narrativeqa_extractive_subset,False,False,False,False,True,True,True,True
ca4b98f5_19,ca4b98f54a313ac59b7da739f8a3d7454c271193,ca4b98f5,Where does Lady Onger go after he husband dies?,England.,78154,14294,narrativeqa_extractive_subset,False,False,False,False,False,True,True,True
